"","name","X","long","lat","order","hole","piece","group","id","ons_label","Pop_2001","Partic_Per"
"1","Barking and Dagenham",832,550820.932963438,184205.013053594,1,FALSE,1,22.1,22,"00AB",163944,6
"2","Barking and Dagenham",833,550243.9376349,183125.437500587,2,FALSE,1,22.1,22,"00AB",163944,6
"3","Barking and Dagenham",834,549853.312354537,181077.624890681,3,FALSE,1,22.1,22,"00AB",163944,6
"4","Barking and Dagenham",835,548080.187744884,181742.8132433,4,FALSE,1,22.1,22,"00AB",163944,6
"5","Barking and Dagenham",836,547086.437727958,181533.421627104,5,FALSE,1,22.1,22,"00AB",163944,6
"6","Barking and Dagenham",837,545801.999710762,181308.749882895,6,FALSE,1,22.1,22,"00AB",163944,6
"7","Barking and Dagenham",838,545258.687838256,182833.827900316,7,FALSE,1,22.1,22,"00AB",163944,6
"8","Barking and Dagenham",839,543881.062748973,183185.609788643,8,FALSE,1,22.1,22,"00AB",163944,6
"9","Barking and Dagenham",840,543522.43746864,184862.515262205,9,FALSE,1,22.1,22,"00AB",163944,6
"10","Barking and Dagenham",841,544190.06294126,184844.844094189,10,FALSE,1,22.1,22,"00AB",163944,6
"11","Barking and Dagenham",842,545184.687454188,185487.483966788,11,FALSE,1,22.1,22,"00AB",163944,6
"12","Barking and Dagenham",843,545261.06249426,185065.359422395,12,FALSE,1,22.1,22,"00AB",163944,6
"13","Barking and Dagenham",844,546514.499935427,185860.031551134,13,FALSE,1,22.1,22,"00AB",163944,6
"14","Barking and Dagenham",845,546601.312607507,186386.562111624,14,FALSE,1,22.1,22,"00AB",163944,6
"15","Barking and Dagenham",846,547093.625183965,186537.031743765,15,FALSE,1,22.1,22,"00AB",163944,6
"16","Barking and Dagenham",847,546988.124511866,187029.937216224,16,FALSE,1,22.1,22,"00AB",163944,6
"17","Barking and Dagenham",848,547702.355296533,187606.36217676,17,FALSE,1,22.1,22,"00AB",163944,6
"18","Barking and Dagenham",849,547642.374496477,188528.687169619,18,FALSE,1,22.1,22,"00AB",163944,6
"19","Barking and Dagenham",850,547927.250272742,188945.296450008,19,FALSE,1,22.1,22,"00AB",163944,6
"20","Barking and Dagenham",851,547514.562912358,189119.70310617,20,FALSE,1,22.1,22,"00AB",163944,6
"21","Barking and Dagenham",852,547412.187488261,189680.656450693,21,FALSE,1,22.1,22,"00AB",163944,6
"22","Barking and Dagenham",853,548877.687137628,191097.327684013,22,FALSE,1,22.1,22,"00AB",163944,6
"23","Barking and Dagenham",854,549122.187617855,190000.03078699,23,FALSE,1,22.1,22,"00AB",163944,6
"24","Barking and Dagenham",855,548881.187169629,187727.437888873,24,FALSE,1,22.1,22,"00AB",163944,6
"25","Barking and Dagenham",856,549950.750050626,186961.062976159,25,FALSE,1,22.1,22,"00AB",163944,6
"26","Barking and Dagenham",857,551551.562084118,187445.155904611,26,FALSE,1,22.1,22,"00AB",163944,6
"27","Barking and Dagenham",858,551390.999907968,186971.734080169,27,FALSE,1,22.1,22,"00AB",163944,6
"28","Barking and Dagenham",859,551935.937892475,185991.469119256,28,FALSE,1,22.1,22,"00AB",163944,6
"29","Barking and Dagenham",860,550820.932963438,184205.013053594,29,FALSE,1,22.1,22,"00AB",163944,6
"30","Barnet",716,523728.509258206,185821.474879097,1,FALSE,1,18.1,18,"00AC",314565,14
"31","Barnet",717,522524.218697083,187379.42227255,2,FALSE,1,18.1,18,"00AC",314565,14
"32","Barnet",718,521653.937480272,187382.703168553,3,FALSE,1,18.1,18,"00AC",314565,14
"33","Barnet",719,521569.500488194,186960.452672159,4,FALSE,1,18.1,18,"00AC",314565,14
"34","Barnet",720,521291.937095936,187169.640512353,5,FALSE,1,18.1,18,"00AC",314565,14
